Date,Open,High,Low,Close,Adj Close,Volume
2022-02-04,4170.000000,4210.000000,4150.000000,4210.000000,3999.187256,236602900
2022-02-07,4240.000000,4410.000000,4220.000000,4400.000000,4179.673340,468016600
2022-02-08,4450.000000,4550.000000,4400.000000,4440.000000,4217.670410,310878100
2022-02-09,4400.000000,4500.000000,4380.000000,4450.000000,4227.169434,149000100
2022-02-10,4500.000000,4500.000000,4450.000000,4470.000000,4246.167969,112521600
2022-02-11,4420.000000,4450.000000,4380.000000,4450.000000,4227.169434,103418200
2022-02-14,4450.000000,4450.000000,4380.000000,4410.000000,4189.172852,105260000
2022-02-15,4440.000000,4450.000000,4390.000000,4430.000000,4208.170898,96658500
2022-02-16,4470.000000,4470.000000,4410.000000,4420.000000,4198.671387,89636300
2022-02-17,4390.000000,4410.000000,4340.000000,4400.000000,4179.673340,118305100
2022-02-18,4400.000000,4440.000000,4370.000000,4430.000000,4208.170898,127058000
2022-02-21,4460.000000,4490.000000,4440.000000,4490.000000,4265.166504,133717300
2022-02-22,4440.000000,4470.000000,4420.000000,4430.000000,4208.170898,109060900
2022-02-23,4520.000000,4520.000000,4460.000000,4480.000000,4255.666992,160827800
2022-02-24,4470.000000,4470.000000,4370.000000,4390.000000,4170.173828,217523600
2022-02-25,4450.000000,4550.000000,4410.000000,4550.000000,4322.162109,301346400
2022-03-01,4850.000000,4860.000000,4630.000000,4630.000000,4398.155762,494657800
2022-03-02,4680.000000,4690.000000,4550.000000,4560.000000,4331.661621,186635200
2022-03-04,4720.000000,4730.000000,4610.000000,4670.000000,4436.153320,292022600
2022-03-07,4580.000000,4630.000000,4520.000000,4520.000000,4293.664063,224515800
2022-03-08,4500.000000,4560.000000,4430.000000,4430.000000,4208.170898,214870200
2022-03-09,4530.000000,4590.000000,4500.000000,4570.000000,4341.160156,191967100
2022-03-10,4640.000000,4640.000000,4510.000000,4570.000000,4341.160156,225575800
2022-03-11,4400.000000,4440.000000,4370.000000,4400.000000,4345.359375,275965300
2022-03-14,4440.000000,4540.000000,4410.000000,4520.000000,4463.869141,212052100
2022-03-15,4550.000000,4640.000000,4530.000000,4610.000000,4552.751465,357755700
2022-03-16,4650.000000,4660.000000,4610.000000,4650.000000,4592.254883,226817000
2022-03-17,4690.000000,4700.000000,4610.000000,4650.000000,4592.254883,224068000
2022-03-18,4700.000000,4700.000000,4580.000000,4580.000000,4523.124023,257863400
2022-03-21,4600.000000,4630.000000,4560.000000,4590.000000,4533.000000,118791900
